date,CO,NO2,SO2,O3
2026-03-04 00:00:00+00:00,0.024668722,3e-05,0.0001,0.11635305
2026-03-05 00:00:00+00:00,0.024339265,3e-05,8e-05,0.118338991
2026-03-06 00:00:00+00:00,0.022112602,3e-05,6e-05,0.118958214
2026-03-07 00:00:00+00:00,0.025785896,3e-05,3.9999999999999996e-05,0.115591232
2026-03-08 00:00:00+00:00,0.029459189999999996,3e-05,1.9999999999999998e-05,0.11664403300000001
2026-03-09 00:00:00+00:00,0.033132484,3e-05,0.0,0.117696834
2026-03-10 00:00:00+00:00,0.03105441733333333,3e-05,3.3333333333333335e-05,0.114286135
2026-03-11 00:00:00+00:00,0.028976350666666668,3e-05,6.666666666666667e-05,0.114219993
2026-03-12 00:00:00+00:00,0.026898284,3e-05,0.0001,0.115203626
2026-03-13 00:00:00+00:00,0.031764428,3e-05,-0.0001,0.111746334
2026-03-14 00:00:00+00:00,0.032443702,5e-05,0.0002,0.11454673
2026-03-15 00:00:00+00:00,0.029665116,5e-05,-0.0001,0.114363121
2026-03-16 00:00:00+00:00,0.031804155,5e-05,0.0,0.114726422
2026-03-17 00:00:00+00:00,0.029493654,4.5e-05,0.0001,0.115635082
2026-03-18 00:00:00+00:00,0.028426553,4e-05,0.0,0.114871902
2026-03-19 00:00:00+00:00,0.0284737585,5e-05,-0.0001,0.115455231
2026-03-20 00:00:00+00:00,0.028520964,6e-05,0.0,0.111911743
2026-03-21 00:00:00+00:00,0.027421066666666667,5.333333333333333e-05,3.3333333333333335e-05,0.114887187
2026-03-22 00:00:00+00:00,0.02632116933333333,4.666666666666667e-05,6.666666666666667e-05,0.115181406
2026-03-23 00:00:00+00:00,0.025221272,4e-05,0.0001,0.11550312
2026-03-24 00:00:00+00:00,0.0263849045,4e-05,5e-05,0.11318063
2026-03-25 00:00:00+00:00,0.027548537,4e-05,0.0,0.113165093
2026-03-26 00:00:00+00:00,0.029180216,4e-05,-5e-05,0.114643676
2026-03-27 00:00:00+00:00,0.028594505,4e-05,-0.0001,0.113415072
2026-03-28 00:00:00+00:00,0.028008794,4e-05,0.0001,0.113733304
2026-03-29 00:00:00+00:00,0.034904838,4.5e-05,0.0001,0.115678647
2026-03-30 00:00:00+00:00,0.031747117,5e-05,0.0,0.11600861750000001
2026-03-31 00:00:00+00:00,0.031395486,4.5e-05,0.0002,0.116338588
2026-04-01 00:00:00+00:00,0.031043855,4e-05,-0.0001,0.117054578
2026-04-02 00:00:00+00:00,0.030371673000000002,4e-05,0.0,0.117692055
2026-04-03 00:00:00+00:00,0.029699491,5e-05,0.0,0.116970994
2026-04-04 00:00:00+00:00,0.029638685,4.5e-05,0.0002,0.117188564
2026-04-05 00:00:00+00:00,0.028576131,4e-05,0.0001,0.118072583
2026-04-06 00:00:00+00:00,0.025622348,4e-05,0.0001,0.119576704
2026-04-07 00:00:00+00:00,0.026441747,2e-05,0.0002,0.117781382
2026-04-08 00:00:00+00:00,0.025973652,3e-05,0.0001,0.117208029
2026-04-09 00:00:00+00:00,0.027510365000000002,4e-05,0.0001,0.116499158
2026-04-10 00:00:00+00:00,0.029047078,5e-05,0.0001,0.119349163
