date,feature_index,SO2
2026-05-08T00:00:00.000Z,0,-7.685840713141563E-5
2026-05-06T00:00:00.000Z,0,2.0560730202608588E-4
2026-05-10T00:00:00.000Z,0,1.386141397006213E-4
2026-05-03T00:00:00.000Z,0,
2026-05-07T00:00:00.000Z,0,-6.089602872331549E-6
2026-05-09T00:00:00.000Z,0,
2026-05-04T00:00:00.000Z,0,2.0725697686430067E-4
2026-05-05T00:00:00.000Z,0,
2026-01-17T00:00:00.000Z,0,
2026-01-15T00:00:00.000Z,0,
2026-01-11T00:00:00.000Z,0,
2026-01-14T00:00:00.000Z,0,
2026-01-13T00:00:00.000Z,0,
2026-01-16T00:00:00.000Z,0,
2026-01-18T00:00:00.000Z,0,
2026-01-12T00:00:00.000Z,0,
2026-02-14T00:00:00.000Z,0,
2026-02-13T00:00:00.000Z,0,
2026-02-16T00:00:00.000Z,0,
2026-02-19T00:00:00.000Z,0,4.49250592282624E-6
2026-02-18T00:00:00.000Z,0,
2026-02-15T00:00:00.000Z,0,5.542968210647814E-5
2026-02-12T00:00:00.000Z,0,-6.351859974529361E-5
2026-02-17T00:00:00.000Z,0,4.4198617615620606E-5
2026-03-19T00:00:00.000Z,0,-1.245560561073944E-4
2026-03-16T00:00:00.000Z,0,-4.745806897214303E-5
2026-03-21T00:00:00.000Z,0,
2026-03-22T00:00:00.000Z,0,
2026-03-23T00:00:00.000Z,0,5.968136974843219E-5
2026-03-20T00:00:00.000Z,0,-2.905053029659636E-5
2026-03-17T00:00:00.000Z,0,1.4128064503893256E-4
2026-03-18T00:00:00.000Z,0,3.72040708498389E-5
2026-06-06T00:00:00.000Z,0,-3.808396650128998E-5
2026-06-11T00:00:00.000Z,0,2.3930706811370328E-4
2026-06-05T00:00:00.000Z,0,-4.821240023981469E-5
2026-06-07T00:00:00.000Z,0,1.605874592011484E-4
2026-06-10T00:00:00.000Z,0,3.086364655852473E-4
2026-06-09T00:00:00.000Z,0,3.7280482501955703E-4
2026-06-08T00:00:00.000Z,0,5.026426078984514E-4
2026-06-04T00:00:00.000Z,0,-8.744877777644433E-5
2026-06-13T00:00:00.000Z,0,6.228944160587464E-5
2026-06-16T00:00:00.000Z,0,1.4000252925446452E-4
2026-06-15T00:00:00.000Z,0,3.3383056324964855E-4
2026-06-19T00:00:00.000Z,0,3.0112714011920616E-4
2026-06-18T00:00:00.000Z,0,9.756557119544595E-5
2026-06-14T00:00:00.000Z,0,-1.2439345785727104E-4
2026-06-17T00:00:00.000Z,0,7.018279817809041E-5
2026-06-12T00:00:00.000Z,0,
2026-07-21T00:00:00.000Z,0,5.483990826178342E-5
2026-07-15T00:00:00.000Z,0,1.0306337693085273E-4
2026-07-20T00:00:00.000Z,0,-1.6100897119031288E-4
2026-07-17T00:00:00.000Z,0,2.1136079521966167E-4
2026-07-16T00:00:00.000Z,0,1.0879491492232773E-4
2026-07-14T00:00:00.000Z,0,3.434185631097838E-5
2026-07-19T00:00:00.000Z,0,1.363554591080174E-4
2026-07-18T00:00:00.000Z,0,1.222972071749003E-4
2026-08-16T00:00:00.000Z,0,-8.712011746562591E-5
2026-08-21T00:00:00.000Z,0,-5.748792924957039E-5
2026-08-18T00:00:00.000Z,0,-1.280529061962928E-4
2026-08-15T00:00:00.000Z,0,2.4009147697749236E-4
2026-08-19T00:00:00.000Z,0,1.3640096767630894E-5
2026-08-22T00:00:00.000Z,0,-7.868559259804897E-5
2026-08-17T00:00:00.000Z,0,-3.5775546772735346E-5
2026-08-20T00:00:00.000Z,0,2.407380223303335E-4
2026-02-04T00:00:00.000Z,0,
2026-02-05T00:00:00.000Z,0,
2026-02-11T00:00:00.000Z,0,
2026-02-06T00:00:00.000Z,0,2.1418371034087613E-4
2026-02-09T00:00:00.000Z,0,
2026-02-07T00:00:00.000Z,0,
2026-02-08T00:00:00.000Z,0,8.00358520791633E-5
2026-02-10T00:00:00.000Z,0,
